words,links,capital_words,spam_word_count,is_spam
174,1,2,3,0
356,10,3,9,1
412,6,6,4,1
180,5,10,0,0
596,1,5,0,1
226,4,8,9,1
750,8,5,10,1
859,1,28,5,1
428,1,0,1,0
918,6,1,5,1
232,10,26,3,1
159,2,6,8,1
559,10,21,10,1
281,2,1,1,0
274,4,0,2,0
235,0,0,1,0
237,0,6,0,0
45,1,2,1,0
311,2,23,9,1
547,3,2,3,1
141,2,3,0,0
277,9,24,8,1
237,0,7,2,0
217,5,0,1,0
31,0,3,1,0
195,9,0,8,1
210,10,21,4,1
637,2,27,6,1
790,3,24,0,1
32,0,2,1,0
784,2,5,10,1
434,0,1,4,0
504,2,29,7,1
45,0,4,1,0
23,0,1,6,0
61,2,2,3,0
100,1,0,0,0
86,2,1,2,0
118,9,13,10,1
181,0,2,2,0
659,1,13,5,1
414,3,26,10,1
295,4,3,0,0
759,2,1,2,1
374,10,30,5,1
937,3,20,4,1
234,2,2,1,0
149,1,8,10,1
811,10,10,8,1
102,4,27,10,1
244,2,1,7,1
297,2,1,2,0
32,0,3,1,0
62,0,3,3,0
195,1,2,2,0
293,2,1,1,0
623,9,5,3,1
284,2,3,4,0
436,10,10,1,1
195,10,25,3,1
84,2,0,3,1
216,1,0,1,0
148,8,4,8,1
338,6,25,4,1
162,2,3,1,0
120,1,5,0,0
638,4,5,9,1
427,0,29,4,1
707,9,17,8,1
275,9,3,5,1
429,9,27,9,1
293,2,6,0,0
63,1,6,0,0
865,5,7,3,1
464,2,3,1,0
228,1,0,2,0
167,0,0,1,0
38,2,6,1,0
57,2,0,4,0
160,9,20,0,1
176,0,2,0,0
897,7,4,10,1
199,2,2,0,0
211,1,2,0,0
579,3,7,10,1
233,3,26,5,1
297,5,6,2,1
141,6,1,0,1
917,2,17,3,1
204,2,3,0,0
111,2,0,2,0
243,0,3,2,0
301,1,9,2,0
151,1,2,6,0
757,8,0,6,1
385,4,2,6,1
91,0,3,0,0
619,2,29,8,1
247,0,1,4,0
402,2,3,2,0
652,5,3,3,1
255,10,7,10,1
256,2,3,1,0
258,0,3,2,0
222,1,2,0,0
110,1,18,9,1
339,2,1,2,0
417,4,4,8,1
160,0,3,2,0
559,5,28,9,1
152,3,20,2,1
202,2,3,0,0
178,8,22,10,1
94,0,1,2,0
418,1,1,2,0
66,3,26,9,1
160,9,0,3,1
219,1,8,1,1
384,1,12,6,1
215,0,0,0,0
184,2,0,2,0
776,10,9,3,1
836,1,24,8,1
180,7,21,4,1
226,0,3,0,0
249,7,10,9,1
552,4,23,9,1
825,6,21,8,1
68,2,2,0,0
233,5,0,0,0
274,0,1,1,0
68,1,1,2,0
990,4,2,3,1
190,3,3,2,0
78,2,0,2,0
113,2,9,2,0
326,3,10,5,0
414,8,11,10,1
183,5,24,9,1
289,0,14,6,1
384,2,1,0,0
393,7,20,4,1
58,2,1,0,0
208,7,15,10,1
127,2,30,4,1
882,0,0,9,1
243,5,9,4,1
208,2,1,0,0
198,9,6,10,1
232,1,2,1,0
